LocNameHeb,LocalityCode,StatArea,StatAreaCmb,pop_approx,change_pcnt,pop_density,religion,ReligionHeb,sexRatio,inst_pcnt,Foreign_pcnt,age0_19_pcnt,age20_64_pcnt,age65_pcnt,DependencyRatio,age_median,m_age_median,w_age_median,married18_34_pcnt,married45_54_pcnt,j_isr_pcnt,j_abr_pcnt,aliya2002_pcnt,aliya2010_pcnt,israel_pcnt,asia_pcnt,africa_pcnt,europe_pcnt,america_pcnt,shem_eretz1,MarriageAge_mdn,m_MarriageAge_mdn,w_MarriageAge_mdn,ChldBorn_avg,koshi5_pcnt,koshi65_pcnt,hh_total_approx,size_avg,hh0_5_pcnt,hh18_24_pcnt,hh_MidatDatiyut,hh_MidatDatiyut_Name,Computer_avg,Vehicle0_pcnt,Vehicle2up_pcnt,Parking_pcnt,own_pcnt,rent_pcnt
ראשון לציון,8300,132,132,3740,,,1,יהודים,101.4,,,27,55.2,17.8,811.7,38,35,40,27.7,63,64.7,35.3,23.4,11.5,33.3,11.6,19,34.8,1.3,ישראל,24,26,22,2,9.2,34.5,1320,2.8,16.2,15.7,1,חילוני,1.8,21.4,32.8,59.3,63.5,32.5
ראשון לציון,8300,133,133,3180,,,1,יהודים,100.7,,,45.9,48.4,5.7,1065.6,25,23,28,24.2,92.8,85.7,14.3,11.4,7.4,55.6,9.7,8.3,25.9,0.5,ישראל,26,27,24,1.9,2.7,28.3,800,4,28.5,25,1,חילוני,2.3,5.8,69.1,97.3,82.1,17
ראשון לציון,8300,211,211,3990,,,1,יהודים,100.5,,,24.8,57.1,18.1,752.4,37,36,39,31.2,68.6,72.4,27.6,34.8,17.2,39.8,22.6,18.4,18.2,1.1,ישראל,25,26,23,2.1,11.7,36.6,1430,2.8,17.1,17.8,2,מסורתי,1.7,15.3,36.3,63.7,63.6,23.8
ראשון לציון,8300,212,212,6190,,,1,יהודים,102.9,,,28,60.1,11.9,663.3,33,34,32,26.3,69.7,87.3,12.7,15.9,10.2,55.8,21,11.4,10.7,1.1,ישראל,24,25,23,1.9,10.7,41.5,2190,2.8,16,23.1,1,חילוני,1.7,23.5,36.8,58.1,50.5,37.6
ראשון לציון,8300,213,213,5110,,,1,יהודים,95.6,,,29.2,54.8,16.1,825.4,36,35,38,33.3,71.8,84.3,15.7,15.6,11.1,51.5,27.2,8.5,11.8,1.1,ישראל,25,26,23,2.3,14.4,50.2,1780,2.8,18.9,17,2,מסורתי,1.6,22.8,34.5,62.7,52.5,35.2
ראשון לציון,8300,214,214,4560,,,1,יהודים,97,,,27.1,54.7,18.2,826.7,40,40,41,24.6,78.7,79.3,20.7,10.7,7.7,43.8,13,9.4,32,1.8,ישראל,24,26,23,2.1,6.7,17.9,1620,2.8,11,20.9,1,חילוני,1.9,12,51.8,93,74.7,20.1
ראשון לציון,8300,215,215,3610,,,1,יהודים,100,,,30.2,57.8,11.9,729,34,32,36,24.9,75.6,81.6,18.4,17.8,9.9,49.3,12.6,9.8,25.8,2.6,ישראל,26,27,24,1.8,6.2,26.3,1220,2.9,16.2,23.1,1,חילוני,2,10.7,53.2,84.5,64.4,30.5
ראשון לציון,8300,217,217,5070,,,1,יהודים,92.9,,,42.4,55.6,2,797.7,28,27,28,66.3,60.1,84.9,15.1,27.6,17.9,59.1,6.6,8.4,24,2,ישראל,27,28,26,1.8,4.4,41.7,1470,3.4,52.8,12.6,1,חילוני,1.8,5.5,55.6,97.4,49.2,49.3
ראשון לציון,8300,218,218,2450,,,1,יהודים,98.4,,,31.3,50.1,18.7,997.7,36,34,38,22.8,80.3,82.6,17.4,10.1,7.4,51.1,11.8,10.4,25.1,1.7,ישראל,25,27,23,2,7.9,22,810,3,21.5,19.6,1,חילוני,1.9,1.9,58,96.2,75.8,21
ראשון לציון,8300,221,221,3710,,,1,יהודים,93.1,,,25.1,53.3,21.7,877.7,40,37,43,22.7,62.1,65.2,34.8,20.5,14.5,32.1,10.9,12.5,42.5,2.1,ישראל,24,26,23,1.9,11.3,32.5,1350,2.7,16.8,17,1,חילוני,1.8,20.3,29.4,74.6,60.3,34.7
ראשון לציון,8300,222,222,2850,,,1,יהודים,90,,,26,50.4,23.6,985.1,41,39,43,30.5,60.7,63.9,36.1,18.2,9.6,32.3,11.4,8.8,45.4,2.2,ישראל,24,26,23,1.9,10.7,34.8,1100,2.5,13.9,12.5,1,חילוני,1.7,19.1,29.1,77,67,26.5
ראשון לציון,8300,223,223,4140,,,1,יהודים,88.1,,,21.7,49.7,28.7,1013.6,45,45,45,15.7,79.4,75.6,24.4,15.2,11.3,41.9,16.3,8.7,30.9,2.2,ישראל,24,25,23,2.1,7.5,18.3,1480,2.5,9.2,20.9,1,חילוני,2,16,44.8,63.4,60.1,31.4
ראשון לציון,8300,224,224,2520,,,1,יהודים,82.4,,,25.8,50.9,23.3,963.7,41,41,41,23.3,69.3,66.3,33.7,16.1,9.2,34.9,8.8,9.2,43.9,3.2,ישראל,25,26,24,1.8,9.1,22.5,940,2.6,12.5,14.9,1,חילוני,1.7,18.8,27.4,65.8,63.6,29.6
ראשון לציון,8300,225,225,3300,,,1,יהודים,89.5,,,21.3,54.6,24.1,830.8,43,41,44,25.2,71.1,61.2,38.8,24.3,15.7,28.5,10.2,9.7,50.1,1.5,ישראל,25,26,23,1.7,9.8,28.4,1350,2.4,12.5,17.3,1,חילוני,1.8,30.3,26.2,78.4,61,32.6
ראשון לציון,8300,226,226,2790,,,1,יהודים,92.3,,,36.5,51.7,11.8,934.3,35,36,33,30.1,80.5,79.4,20.6,13.8,10.9,46.2,11.2,9.5,31.5,1.7,ישראל,26,27,26,1.9,5.5,23.8,860,3.2,27,18,1,חילוני,2.1,7.3,54.9,98.8,81.2,17.9
ראשון לציון,8300,312,312,4990,,,1,יהודים,92.6,,,32.1,55.3,12.5,807.2,35,36,35,28.6,78.2,82.9,17.1,17.4,11.6,50.3,18.5,10.9,18.6,1.7,ישראל,26,27,24,1.8,8.4,28.1,1680,2.9,19,19,1,חילוני,1.8,12,44.6,70.1,62,29.5
ראשון לציון,8300,313,313,2250,,,1,יהודים,150.2,,,42.5,55.1,2.4,815.1,21,20,29,29,50.6,89.3,10.7,29.9,16.2,64.1,5.9,8.6,16.9,4.6,ישראל,27,28,26,1.9,4.1,41.9,560,3.1,45.4,12.8,1,חילוני,1.8,11.9,55.8,98.7,57.1,42.2
ראשון לציון,8300,314,314,5300,,,1,יהודים,97.7,,,35.6,56,8.4,784.4,31,31,31,24.8,84.9,86.6,13.4,23.7,16.4,56.5,9.9,9.6,22.2,1.7,ישראל,25,27,24,1.9,4.1,17.3,1630,3.1,20.9,26.6,1,חילוני,2.1,4.3,55.8,85.5,64,29.8
ראשון לציון,8300,321,321,3470,,,1,יהודים,100,,,24.2,56.4,19.4,772.2,37,35,39,25.1,65.1,65.4,34.6,23.5,14.9,34.1,11.1,8.7,43.5,2.6,ישראל,25,26,24,1.6,10.6,34,1420,2.3,10.8,18.2,1,חילוני,1.8,20.9,36.2,69.7,57.3,33.9
ראשון לציון,8300,322,322,4590,,,1,יהודים,89.8,,,23.5,55.1,21.4,816,40,38,43,24.6,68.1,59.9,40.1,24.1,16,29.3,11.2,7.6,49.9,2.1,ישראל,25,26,23,1.8,14.2,39.8,1840,2.4,13.2,15.2,1,חילוני,1.8,24.6,24,55,60.7,36.8
ראשון לציון,8300,323,323,4060,,,1,יהודים,91.2,,,20,58.6,21.4,706.8,40,39,42,32.2,55.9,52.2,47.8,30.2,18.8,25.7,8.9,8.1,55.7,1.6,ישראל,25,27,24,1.6,15.7,41.5,1780,2.2,12.3,11.5,1,חילוני,1.6,32.4,19.1,51.5,43.8,52.4
ראשון לציון,8300,324,324,3550,,,1,יהודים,97.5,,,15.7,60.1,24.2,663.6,44,39,47,23.7,50,46.9,53.1,30.3,22.5,19.2,10,9.3,59.2,2.3,ישראל,24,26,22,1.5,14.3,37.4,1630,2,9,11.4,1,חילוני,1.6,38.6,17.3,44.4,38,56.5
ראשון לציון,8300,411,411,2120,,,1,יהודים,93.7,,,30.1,57.1,12.8,752.7,35,35,36,20.9,88.2,81.1,18.9,16.5,12.9,45.3,13.6,8.7,30.7,1.7,ישראל,25,26,24,1.8,5.7,12.3,660,3.1,15.8,31.4,1,חילוני,2.2,3.9,64.1,91.2,72.5,23.3
